"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/186364708135","TXMS65W390",,"TX390","electric drill bit sharpener","PHRASE","0.85",,,"True",
"https://www.ebay.com.au/itm/186364708135","TXMS65W390",,"TX390","drill sharpener","PHRASE","0.39",,,"True",
"https://www.ebay.com.au/itm/186364708135","TXMS65W390",,"TX390","multifunction sharpener","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186341697526","TXRT239097",,"TX097","rotary tool accessory","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186341697526","TXRT239097",,"TX097","rotary tool accessories","PHRASE","0.45",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","flap disc","PHRASE","0.24",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","zirconia flap disc","PHRASE","0.27",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","flap disc","EXACT","0.28",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","125mm flap disc","EXACT","0.37",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","flap discs 125mm","EXACT","0.53",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","5inch flap discs","EXACT","0.28",,,"True",
"https://www.ebay.com.au/itm/186334300215","TXFD125322",,"TX322/TX323/TX324/TX325","grit flap disc","PHRASE","0.65",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","air purifiers for the bedroom","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","air purifiers for the home","EXACT","0.32",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","air purifier","EXACT","1.45",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","air purifier home","EXACT","2.1",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","air purifier hepa","EXACT","0.76",,,"True",
"https://www.ebay.com.au/itm/186334247047","SLAP175200",,"SL200","hepa air purifier","EXACT","2.3",,,"True",
"https://www.ebay.com.au/itm/186334297375","TXSP5PC253",,"TX253","spark plug socket set","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186334297375","TXSP5PC253",,"TX253","spark plug socket","PHRASE","0.4",,,"True",
"https://www.ebay.com.au/itm/186334297375","TXSP5PC253",,"TX253","swivel spark plug socket","PHRASE","0.24",,,"True",
"https://www.ebay.com.au/itm/186334297375","TXSP5PC253",,"TX253","spark plug socket","EXACT","0.8",,,"True",
